V,H,S,M
0.3381567582,0,0,1
0.3202413342,0.1818181818,0,1
0.2870087505,0.2727272727,0,1
0.2562836221,0.4545454545,0,1
0.2628395987,0.5454545455,0,1
0.2409664625,0.7272727273,0,1
0.2544104859,0.8181818182,0,1
0.2349241746,1,0,1
0.3534739178,0,0.6,1
0.335347054,0.1818181818,0.6,1
0.335347054,0.2727272727,0.6,1
0.3300298944,0.4545454545,0.6,1
0.335347054,0.5454545455,0.6,1
0.3051356143,0.7272727273,0.6,1
0.2562836221,0.8181818182,0.6,1
0.235649303,1,0.6,1
0.315347054,0,0.2,1
0.2839876065,0.1818181818,0.2,1
0.3032624781,0.2727272727,0.2,1
0.2749241746,0.4545454545,0.2,1
0.2600298944,0.5454545455,0.2,1
0.2598184547,0.7272727273,0.2,1
0.2839876065,0.8181818182,0.2,1
0.2658607427,1,0.2,1
0.3230510384,0,0.8,1
0.3051356143,0.1818181818,0.8,1
0.3141990462,0.2727272727,0.8,1
0.3021144703,0.4545454545,0.8,1
0.3232624781,0.5454545455,0.8,1
0.3141990462,0.7272727273,0.8,1
0.3232624781,0.8181818182,0.8,1
0.2741990462,1,0.8,1
0.3474316299,0,0.4,1
0.3416915909,0.1818181818,0.4,1
0.2960721824,0.2727272727,0.4,1
0.3103987607,0.4545454545,0.4,1
0.2960721824,0.5454545455,0.4,1
0.3174316299,0.7272727273,0.4,1
0.3293047661,0.8181818182,0.4,1
0.3081567582,1,0.4,1
0.338368198,0,1,1
0.2950149838,0.1818181818,1,1
0.2719938398,0.2727272727,1,1
0.2719030306,0.4545454545,1,1
0.2922052796,0.5454545455,1,1
0.285347054,0.7272727273,1,1
0.3021144703,0.9090909091,1,1
0.9999987276,0,0,2
0.9999987276,0.09090909091,0,2
0.9999987276,0.2727272727,0,2
0.9063432645,0.3636363636,0,2
0.6586094589,0.5454545455,0,2
0.6102711554,0.6363636364,0,2
0.4531716689,0.8181818182,0,2
0.4424465405,0.9090909091,0,2
0.9999987276,0,0.6,2
0.9999987276,0.09090909091,0.6,2
0.9758295759,0.2727272727,0.6,2
0.8157089454,0.3636363636,0.6,2
0.6555883149,0.5454545455,0.6,2
0.6283980192,0.6363636364,0.6,2
0.5045311164,0.8181818182,0.6,2
0.4743196767,0.9090909091,0.6,2
0.7190323383,0,0.2,2
0.6223557313,0.09090909091,0.2,2
0.5317214121,0.2727272727,0.2,2
0.5045311164,0.3636363636,0.2,2
0.438065949,0.5454545455,0.2,2
0.3987910774,0.6363636364,0.2,2
0.3625373497,0.8181818182,0.2,2
0.9999987276,0,0.8,2
0.9123855525,0.1818181818,0.8,2
0.957702712,0.2727272727,0.8,2
0.7583072099,0.4545454545,0.8,2
0.7341380582,0.5454545455,0.8,2
0.4952562447,0.7272727273,0.8,2
0.4682773887,0.8181818182,0.8,2
0.4673408206,1,0.8,2
0.9999987276,0,0.4,2
0.9999987276,0.1818181818,0.4,2
0.9999987276,0.2727272727,0.4,2
0.9999987276,0.4545454545,0.4,2
0.9999987276,0.5454545455,0.4,2
0.854983817,0.7272727273,0.4,2
0.6283980192,0.8181818182,0.4,2
0.5498482759,1,0.4,2
0.9999987276,0,1,2
0.8912375447,0.1818181818,1,2
0.9999987276,0.2727272727,1,2
0.8096666574,0.4545454545,1,2
0.7160111943,0.5454545455,1,2
0.5075522603,0.7272727273,1,2
0.5498482759,0.8181818182,1,2
0.444108237,1,1,2
0.3893047661,0,0,3
0.365347054,0.1818181818,0,3
0.3685796377,0.2727272727,0,3
0.3381567582,0.4545454545,0,3
0.3172201902,0.5454545455,0,3
0.3190933263,0.7272727273,0,3
0.335347054,0.8181818182,0,3
0.3032624781,1,0,3
0.6132922993,0.1818181818,0.6,3
0.4259813731,0.3636363636,0.6,3
0.3846219256,0.4545454545,0.6,3
0.3564950618,0.6363636364,0.6,3
0.3506853575,0.7272727273,0.6,3
0.338368198,0.9090909091,0.6,3
0.3444104859,1,0.6,3
0.444108237,0.09090909091,0.2,3
0.3897276455,0.1818181818,0.2,3
0.3564950618,0.3636363636,0.2,3
0.3534739178,0.4545454545,0.2,3
0.3564950618,0.6363636364,0.2,3
0.3141990462,0.7272727273,0.2,3
0.2537761668,0.9090909091,0.2,3
0.5740174277,0,0.8,3
0.4773408206,0.1818181818,0.8,3
0.4833831086,0.2727272727,0.8,3
0.4078545093,0.4545454545,0.8,3
0.3867065015,0.5454545455,0.8,3
0.3897276455,0.7272727273,0.8,3
0.3655584937,0.8181818182,0.8,3
0.3262836221,1,0.8,3
0.6646517468,0.1818181818,0.4,3
0.5105734043,0.3636363636,0.4,3
0.4833831086,0.4545454545,0.4,3
0.3957699334,0.6363636364,0.4,3
0.3625373497,0.7272727273,0.4,3
0.3527487894,0.9090909091,0.4,3
0.3529602292,1,0.4,3
0.5619328518,0.1818181818,1,3
0.5861020036,0.2727272727,1,3
0.4894253965,0.4545454545,1,3
0.4259813731,0.5454545455,1,3
0.3504527738,0.7272727273,1,3
0.335347054,0.8181818182,1,3
0.3064950618,1,1,3
0.5135945483,0.09090909091,0,4
0.4078545093,0.2727272727,0,4
0.3897276455,0.3636363636,0,4
0.338368198,0.5454545455,0,4
0.3534739178,0.6363636364,0,4
0.3685796377,0.8181818182,0,4
0.3625373497,0.9090909091,0,4
0.5015099724,0,0.6,4
0.441087093,0.09090909091,0.6,4
0.4048333653,0.3636363636,0.6,4
0.3776430696,0.4545454545,0.6,4
0.3474316299,0.6363636364,0.6,4
0.3306642136,0.7272727273,0.6,4
0.3293047661,0.9090909091,0.6,4
0.3095162058,1,0.6,4
0.5317214121,0.1818181818,0.2,4
0.5045311164,0.2727272727,0.2,4
0.438065949,0.4545454545,0.2,4
0.3987910774,0.5454545455,0.2,4
0.3625373497,0.7272727273,0.2,4
0.3141990462,0.8181818182,0.2,4
0.3293047661,1,0.2,4
0.28125225,0,0.8,4
0.273866976,0.1818181818,0.8,4
0.2564652406,0.2727272727,0.8,4
0.2275224391,0.4545454545,0.8,4
0.235649303,0.5454545455,0.8,4
0.2079453186,0.7272727273,0.8,4
0.1977338788,0.8181818182,0.8,4
0.2422052796,0.09090909091,0.4,4
0.2403321434,0.1818181818,0.4,4
0.2628395987,0.4545454545,0.4,4
0.2558607427,0.5454545455,0.4,4
0.2339876065,0.7272727273,0.4,4
0.2130966463,0.8181818182,0.4,4
0.2349241746,1,0.4,4
0.5921442915,0,1,4
0.4169179412,0.1818181818,1,4
0.4229602292,0.2727272727,1,4
0.4078545093,0.4545454545,1,4
0.33232591,0.5454545455,1,4
0.3293047661,0.7272727273,1,4
0.3655584937,0.8181818182,1,4
0.3293047661,1,1,4
0.5830808596,0,0,5
0.3111779022,0.1818181818,0,5
0.2779453186,0.2727272727,0,5
0.335347054,0.4545454545,0,5
0.229607015,0.5454545455,0,5
0.2900298944,0.7272727273,0,5
0.3021144703,0.8181818182,0,5
0.3141990462,1,0,5
0.5589117078,0,0.6,5
0.5015099724,0.1818181818,0.6,5
0.5347425561,0.2727272727,0.6,5
0.4894253965,0.4545454545,0.6,5
0.443805988,0.5454545455,0.6,5
0.3897276455,0.7272727273,0.6,5
0.395044805,0.8181818182,0.6,5
0.3655584937,1,0.6,5
0.4229602292,0.1818181818,0.2,5
0.3474316299,0.5454545455,0.2,5
0.33232591,0.6363636364,0.2,5
0.2960721824,0.9090909091,0.2,5
0.33232591,1,0.2,5
0.4191841356,0.09090909091,0.8,5
0.4228395987,0.1818181818,0.8,5
0.378368198,0.3636363636,0.8,5
0.3716007817,0.4545454545,0.8,5
0.3487910774,0.6363636364,0.8,5
0.3536853575,0.7272727273,0.8,5
0.3232624781,0.9090909091,0.8,5
0.295347054,1,0.8,5
0.4712985327,0.1818181818,0.4,5
0.444108237,0.2727272727,0.4,5
0.3836853575,0.4545454545,0.4,5
0.3508756533,0.5454545455,0.4,5
0.3413893419,0.7272727273,0.4,5
0.3413893419,0.8181818182,0.4,5
0.2960721824,1,0.4,5
0.4954676845,0.09090909091,1,5
0.4108756533,0.2727272727,1,5
0.3716007817,0.3636363636,1,5
0.3232624781,0.5454545455,1,5
0.3021144703,0.6363636364,1,5
0.3504527738,0.8181818182,1,5
0.3081567582,0.9090909091,1,5
0.3202413342,0.09090909091,0,1
0.2688818866,0.3636363636,0,1
0.2502413342,0.6363636364,0,1
0.2537761668,0.9090909091,0,1
0.3658607427,0.09090909091,0.6,1
0.3260721824,0.3636363636,0.6,1
0.2937761668,0.6363636364,0.6,1
0.2447127349,0.9090909091,0.6,1
0.296585871,0.09090909091,0.2,1
0.2747127349,0.3636363636,0.2,1
0.2809664625,0.6363636364,0.2,1
0.229607015,0.9090909091,0.2,1
0.3170087505,0.09090909091,0.8,1
0.3141990462,0.3636363636,0.8,1
0.3051356143,0.6363636364,0.8,1
0.2960721824,0.9090909091,0.8,1
0.338368198,0.09090909091,0.4,1
0.3021144703,0.3636363636,0.4,1
0.33232591,0.6363636364,0.4,1
0.3021144703,0.9090909091,0.4,1
0.2900298944,0.09090909091,1,1
0.2590933263,0.3636363636,1,1
0.288368198,0.6363636364,1,1
0.2870087505,1,1,1
0.9999987276,0.1818181818,0,2
0.7885186497,0.4545454545,0,2
0.5861020036,0.7272727273,0,2
0.4392139568,1,0,2
0.9999987276,0.1818181818,0.6,2
0.7250746263,0.4545454545,0.6,2
0.5347425561,0.7272727273,0.6,2
0.4501505249,1,0.6,2
0.5135945483,0.1818181818,0.2,2
0.4803619646,0.4545454545,0.2,2
0.3716007817,0.7272727273,0.2,2
0.9999987276,0.09090909091,0.8,2
0.7129900504,0.3636363636,0.8,2
0.6283980192,0.6363636364,0.8,2
0.4833831086,0.9090909091,0.8,2
0.9999987276,0.09090909091,0.4,2
0.9999987276,0.3636363636,0.4,2
0.851962673,0.6363636364,0.4,2
0.5921442915,0.9090909091,0.4,2
0.9939564397,0.09090909091,1,2
0.7794552178,0.3636363636,1,2
0.6555883149,0.6363636364,1,2
0.444108237,0.9090909091,1,2
0.3746219256,0.09090909091,0,3
0.3444104859,0.3636363636,0,3
0.3155584937,0.6363636364,0,3
0.3036853575,0.9090909091,0,3
0.4924465405,0.2727272727,0.6,3
0.3747065015,0.5454545455,0.6,3
0.3560721824,0.8181818182,0.6,3
0.5347425561,0,0.2,3
0.3957699334,0.2727272727,0.2,3
0.3534739178,0.5454545455,0.2,3
0.2809664625,0.8181818182,0.2,3
0.4803619646,0.09090909091,0.8,3
0.4320236611,0.3636363636,0.8,3
0.2719030306,0.6363636364,0.8,3
0.3021144703,0.9090909091,0.8,3
0.5498482759,0.2727272727,0.4,3
0.4169179412,0.5454545455,0.4,3
0.3806642136,0.8181818182,0.4,3
0.752264922,0.09090909091,1,3
0.5226579802,0.3636363636,1,3
0.4048333653,0.6363636364,1,3
0.3111779022,0.9090909091,1,3
0.4712985327,0.1818181818,0,4
0.3806642136,0.4545454545,0,4
0.3081567582,0.7272727273,0,4
0.3595162058,1,0,4
0.4234739178,0.1818181818,0.6,4
0.3595162058,0.5454545455,0.6,4
0.3336853575,0.8181818182,0.6,4
0.5135945483,0.09090909091,0.2,4
0.4803619646,0.3636363636,0.2,4
0.3716007817,0.6363636364,0.2,4
0.3262836221,0.9090909091,0.2,4
0.2717824002,0.09090909091,0.8,4
0.2419938398,0.3636363636,0.8,4
0.2270087505,0.6363636364,0.8,4
0.2637761668,0,0.4,4
0.2235647271,0.2727272727,0.4,4
0.2537761668,0.6363636364,0.4,4
0.2098184547,0.9090909091,0.4,4
0.4622351008,0.09090909091,1,4
0.4138967973,0.3636363636,1,4
0.3474316299,0.6363636364,1,4
0.335347054,0.9090909091,1,4
0.444108237,0.09090909091,0,5
0.2960721824,0.3636363636,0,5
0.3564950618,0.6363636364,0,5
0.3202413342,0.9090909091,0,5
0.540784844,0.09090909091,0.6,5
0.5061020036,0.3636363636,0.6,5
0.4018122214,0.6363636364,0.6,5
0.3690025171,0.9090909091,0.6,5
0.3628395987,0.3636363636,0.2,5
0.3202413342,0.8181818182,0.2,5
0.4462836221,0,0.8,5
0.3911779022,0.2727272727,0.8,5
0.3781567582,0.5454545455,0.8,5
0.3199390852,0.8181818182,0.8,5
0.5196368362,0.09090909091,0.4,5
0.3987910774,0.3636363636,0.4,5
0.3474316299,0.6363636364,0.4,5
0.3232624781,0.9090909091,0.4,5
0.444108237,0.1818181818,1,5
0.3534739178,0.4545454545,1,5
0.3625373497,0.7272727273,1,5
0.3141990462,1,1,5